ticker,stage2_flag,weekly_close_above_30w_ma,ma_slope_positive,golden_cross,near_52w_high,breakout_volume,score_trend,score_relative_strength,score_volume_accumulation,score_volatility_contraction,score_distance_from_high,score_total,pct_below_3yr_high,pct_above_30dma,fund_revenue_growth,fund_margin_expansion,fund_profitability_path,fund_pe_compression,fund_earnings_beat,fund_total,price,mcap,adv_20d_dollar,industry,sector,business_summary,combined_score,themes,new_today
AMLX,True,True,True,True,True,True,2,2,2,0,2,8,0.05546055315999155,0.7162897996767132,0,0,0,0,0,0,38.65999984741211,4307615232.0,112852011.43672943,Drug Manufacturers - Specialty & Generic,Healthcare,"Amylyx Pharmaceuticals, Inc., a clinical-stage pharmaceutical company, engages in the discovery and development of treatment options for neurodegenerative diseases and endocrine conditions in the United States. It provides Avexitide, an investigational, first-in-class glucagon-like peptide-1, or GLP-1 receptor antagonist, which is in phase 3 clinical trial to treat post-bariatric hypoglycemia and...",8,[],True
ETON,True,True,True,True,True,True,2,2,2,0,2,8,0.0,0.3555304291214656,0,0,0,0,0,0,63.470001220703125,1814171648.0,34151253.80073547,Drug Manufacturers - Specialty & Generic,Healthcare,"Eton Pharmaceuticals, Inc., a pharmaceutical company, focuses on developing and commercializing treatments for rare diseases. Its commercial rare disease products include Increlex for the treatment of severe primary igf-1 deficiency; Alkindi Sprinkle for adrenal insufficiency; Khindivi for adrenocortical insufficiency; Galzin for Wilson disease; PKU Golike for phenylketonuria; Carglumic Acid for...",8,[],True
AVAH,True,True,True,True,True,True,1,2,2,0,2,7,0.0,0.2868318045350603,0,0,0,0,0,0,13.15999984741211,2871771136.0,32533302.190084457,Medical Care Facilities,Healthcare,"Aveanna Healthcare Holdings Inc., a diversified home care platform company, provides pediatric and adult healthcare services in the United States. Its patient-centered care delivery platform allows patients to remain in their homes and minimizes the overutilization of high-cost care settings, such as hospitals or skilled nursing facilities. The company operates through three segments: Private...",7,[],True
AYA,True,True,True,True,True,True,2,2,1,0,2,7,0.019860276017683417,0.16913310703910817,0,0,0,0,0,0,26.649999618530273,3838563584.0,20768598.137722015,Silver,Basic Materials,"Aya Gold & Silver Inc., together with its subsidiaries, engages in the exploration, evaluation, and development of precious metals projects in Morocco. The company primarily explores for gold and silver deposits. Its flagship project holds 100% interests in the Zgounder property located east of Agadir in the Proterozoic Siroua Massif of the Anti-Atlas Range, Morocco covering an area of...",7,[],True
FLXS,True,True,True,True,True,True,2,2,1,0,2,7,0.0,0.08152282087210536,0,0,0,0,0,0,81.38999938964844,331718048.0,5638265.765075684,"Furnishings, Fixtures & Appliances",Consumer Cyclical,"Flexsteel Industries, Inc., together with its subsidiaries, manufactures, distributes, imports, and markets residential furniture products in the United States. The company offers stationary and motion sofas; loveseats; chairs and sectionals; bedroom furniture; dining tables and chairs; occasional and entertainment tables; and kitchen storage. It distributes its products through its e-commerce...",7,[],False
GNK,True,True,True,True,True,True,2,2,1,0,2,7,0.0,0.06292547730706617,0,0,0,0,0,0,26.520000457763672,1155916800.0,9803460.799455643,Marine Shipping,Industrials,"Genco Shipping & Trading Limited, together with its subsidiaries, engages in the ocean transportation of drybulk cargoes worldwide. It operates through two segments: major bulk and minor bulk fleet. The company owns and operates dry bulk vessels to transports iron ore, grains, coal, steel products, and other drybulk cargoes. It charters its vessels primarily to trading houses, including...",7,[],True
HTFL,True,True,True,True,True,True,1,2,2,0,2,7,0.0,0.6435957551363611,0,0,0,0,0,0,49.75,4325942784.0,70255181.68950081,Health Information Services,Healthcare,"HeartFlow, Inc., a medical technology company, provides non-invasive solutions for diagnosing and managing coronary artery diseases the United States and worldwide. Its HeartFlow Platform uses AI and computational fluid dynamics to creates a personalized 3D model of a patient's heart from a single coronary computed tomography angiography, a specialized type of scan that provides detailed images...",7,[],False
ERO,True,True,True,True,True,True,1,1,2,0,2,6,0.0,0.32332200190476185,0,0,0,0,0,0,39.41999816894531,4111609600.0,42460451.26533508,Copper,Basic Materials,"Ero Copper Corp. engages in the exploration, development, and production of mining projects in Brazil. Its flagship asset includes Caraíba operations that comprise the production and sale of copper concentrates located in Bahia State, Brazil, as well as gold and silver produced and sold as by-products. The company was incorporated in 2016 and is headquartered in Vancouver, Canada.",6,[],True
BOW,True,True,True,True,True,True,1,0,1,1,2,5,0.2052194831017515,0.04269336473750488,0,0,0,0,0,0,33.5,1103590656.0,15819183.719406128,Insurance - Property & Casualty,Financial Services,"Bowhead Specialty Holdings Inc. provides commercial specialty property and casualty insurance products in the United States. It underwrites casualty insurance solutions for risks in the construction, distribution, heavy manufacturing, real estate, and hospitality segments; professional liability insurance solutions, including directors and officers liability, errors and omissions liability,...",5,[],False
GTY,True,True,True,True,True,True,0,1,1,0,2,4,0.08662067281788793,-0.030141468030719966,0,0,0,0,0,0,33.11000061035156,2050591744.0,17310068.54019165,REIT - Retail,Real Estate,"Getty Realty Corp. is a publicly traded, net lease REIT specializing in the acquisition, financing and development of convenience, automotive and other single-tenant retail real estate. As of June 30, 2026, the Company's portfolio included 1,224 freestanding properties located in 46 states across the United States and Washington, D.C. Getty Realty Corp. was incorporated in 1955 and is based in...",4,[],False
