ticker,stage2_flag,weekly_close_above_30w_ma,ma_slope_positive,golden_cross,near_52w_high,breakout_volume,score_trend,score_relative_strength,score_volume_accumulation,score_volatility_contraction,score_distance_from_high,score_total,pct_below_3yr_high,pct_above_30dma,fund_revenue_growth,fund_margin_expansion,fund_profitability_path,fund_pe_compression,fund_earnings_beat,fund_total,price,mcap,adv_20d_dollar,industry,sector,business_summary,combined_score,themes,new_today
CVEO,True,True,True,True,True,True,2,2,2,1,2,9,0.0,0.04482528382055249,0,0,0,0,0,0,34.869998931884766,381592704.0,7654961.836566925,Lodging,Consumer Cyclical,"Civeo Corporation engages in hospitality services to the natural resource industry in Canada, Australia, and internationally. The company develops lodges and villages; and mobile assets, including modular, skid-mounted accommodation, and central facilities that provide short to medium-term accommodation needs. It also offers food, housekeeping, and maintenance services, as well as laundry,...",9,[],True
CDNA,True,True,True,True,True,True,2,2,2,0,2,8,0.08032410091251618,0.4581778430823609,0,0,0,0,0,0,39.72999954223633,2052431104.0,34926786.78588867,Diagnostics & Research,Healthcare,"CareDx, Inc. provides solutions for improving outcomes for transplant patients and advancing organ health in the United States and internationally. The company provides AlloSure Kidney, a donor-derived cell-free DNA (dd-cfDNA) solution for kidney transplant patients; AlloMap Heart, a gene expression profiling solution for heart transplant patients; AlloSure Heart, a dd-cfDNA solution for heart...",8,[],True
CHEF,True,True,True,True,True,True,2,2,2,0,2,8,0.0,0.04221571284176292,0,0,0,0,0,0,97.08499908447266,3958895872.0,53833963.283462524,Food Distribution,Consumer Defensive,"The Chefs' Warehouse, Inc., together with its subsidiaries, distributes specialty food and center-of-the-plate products in the United States, the Middle East, and Canada. It offers specialty food products, such as artisan charcuterie, specialty cheeses, unique oils and vinegars, truffles, caviar, chocolate, and pastry products and center-of-the-plate products that includes custom cut beef,...",8,[],True
CLBK,True,True,True,True,True,True,2,2,2,0,2,8,0.0,0.12085123835562143,0,0,0,0,0,0,23.420000076293945,2437043712.0,10399427.513952255,Banks - Regional,Financial Services,"Columbia Financial, Inc. operates as a bank holding company for Columbia Bank that provides banking and other financial services to businesses and consumers in the United States. The company offers commercial loans, including multifamily and commercial real estate, commercial business, and construction loans; residential loans, such as one-to-four family residential real estate and one-to-four...",8,[],True
CLMT,True,True,True,True,True,True,2,2,2,0,2,8,0.0,0.18396687437472062,0,0,0,0,0,0,42.83000183105469,3732512256.0,37220019.876880646,Specialty Chemicals,Basic Materials,"Calumet, Inc. manufactures, formulates, and markets a slate of specialty branded products and renewable fuels in North America and internationally. It operates through Specialty Products and Solutions; Performance Brands; and Montana/Renewables segments. The Specialty Products and Solutions segment manufactures and markets various solvents, waxes, customized lubricating oils, white oils,...",8,[],True
ETON,True,True,True,True,True,True,2,2,2,0,2,8,0.0,0.22147391442286773,0,0,0,0,0,0,42.31999969482422,1159244544.0,16675081.641845703,Drug Manufacturers - Specialty & Generic,Healthcare,"Eton Pharmaceuticals, Inc., a pharmaceutical company, focuses on developing and commercializing treatments for rare diseases. Its commercial rare disease products include Increlex for the treatment of severe primary igf-1 deficiency; Alkindi Sprinkle for adrenal insufficiency; Khindivi for adrenocortical insufficiency; Galzin for Wilson disease; PKU Golike for phenylketonuria; Carglumic Acid for...",8,[],True
FFBC,True,True,True,True,True,True,2,2,1,1,2,8,0.0,0.07869786644253458,0,0,0,0,0,0,35.720001220703125,3748077312.0,38925642.42547989,Banks - Regional,Financial Services,"First Financial Bancorp. operates as the bank holding company for First Financial Bank that provides commercial banking and banking-related services to individuals and businesses in Ohio, Indiana, Kentucky, and Illinois. The company offers checking and savings accounts; and accepts various deposit products, such as interest-bearing and non-interest-bearing accounts, time deposits, and cash...",8,[],True
CHRN,True,True,True,True,True,True,2,1,2,0,2,7,0.42229507529670424,0.2537950854284988,0,0,0,0,0,0,26.43000030517578,3838028032.0,9684555.599536896,Information Technology Services,Technology,"ChronoScale Holdings Corporation designs and develops a compute platform to support artificial intelligence (AI) workloads. The company focuses on large-scale deployments and provides dedicated compute environments engineered for performance, consistency, and long-term operational execution. The company was formerly known as ChronoScale Corporation and changed its name to ChronoScale Holdings...",7,[],True
ELMD,True,True,True,True,True,True,2,1,1,1,2,7,0.07776567213793678,0.029297872954586014,0,0,0,0,0,0,42.099998474121094,348590688.0,5601763.828868866,Medical Devices,Healthcare,"Electromed, Inc. develops, manufactures, markets, and sells airway clearance therapy and related products that apply high frequency chest wall oscillation (HFCWO) therapy in pulmonary care for patients in the United States and internationally. The company offers SmartVest airway clearance system for patients with compromised pulmonary functions, including bronchiectasis and cystic fibrosis, as...",7,[],True
EQBK,True,True,True,True,True,True,2,2,1,0,2,7,0.0,0.048221067017848486,0,0,0,0,0,0,50.439998626708984,1037399872.0,9534058.099403381,Banks - Regional,Financial Services,"Equity Bancshares, Inc. operates as the bank holding company for Equity Bank that provides a range of banking, mortgage banking, and financial services to individual and corporate customers. It accepts demand, savings, money market, and time deposits. The company's loan products include commercial and industrial, commercial real estate, commercial lines of credit, working capital, term, equipment...",7,[],True
